userId,latitude,longitude,date_partition
71fb3b90-8222-4720-876a-a647d65146ee,-22.5292538,-44.1599124,2021-11-10
71fb3b90-8222-4720-876a-a647d65146ee,-22.54054054054054,-44.16675634501769,2021-10-23
71fb3b90-8222-4720-876a-a647d65146ee,-22.5314866,-44.1535352,2021-11-11
71fb3b90-8222-4720-876a-a647d65146ee,-22.5323299,-44.1534726,2021-11-13
71fb3b90-8222-4720-876a-a647d65146ee,-22.5318662,-44.1536022,2021-11-14
71fb3b90-8222-4720-876a-a647d65146ee,-22.5187196,-44.1075761,2021-10-29
71fb3b90-8222-4720-876a-a647d65146ee,-22.4925855,-44.098518,2021-11-21
71fb3b90-8222-4720-876a-a647d65146ee,-22.4925776,-44.09854,2021-11-21
71fb3b90-8222-4720-876a-a647d65146ee,-22.4925815,-44.0985403,2021-11-21
71fb3b90-8222-4720-876a-a647d65146ee,-22.4925781,-44.0985422,2021-11-21
71fb3b90-8222-4720-876a-a647d65146ee,-22.4925826,-44.0985313,2021-11-21
71fb3b90-8222-4720-876a-a647d65146ee,-22.5318878,-44.153559,2021-11-25
71fb3b90-8222-4720-876a-a647d65146ee,-22.5318829,-44.1531543,2021-11-16
71fb3b90-8222-4720-876a-a647d65146ee,-22.5319961,-44.1531022,2021-11-16
71fb3b90-8222-4720-876a-a647d65146ee,-22.5331155,-44.1294424,2021-11-16
71fb3b90-8222-4720-876a-a647d65146ee,-22.5320339,-44.1532011,2021-11-05
71fb3b90-8222-4720-876a-a647d65146ee,-22.5421212,-44.1723096,2021-11-05
71fb3b90-8222-4720-876a-a647d65146ee,-22.5293618,-44.1528994,2021-11-15
71fb3b90-8222-4720-876a-a647d65146ee,-22.5321761,-44.1533911,2021-11-15
71fb3b90-8222-4720-876a-a647d65146ee,-22.5305163,-44.1529734,2021-11-24
71fb3b90-8222-4720-876a-a647d65146ee,-22.532095,-44.1529597,2021-11-04
71fb3b90-8222-4720-876a-a647d65146ee,-22.5321089,-44.1531756,2021-11-21
71fb3b90-8222-4720-876a-a647d65146ee,-22.492569,-44.0985201,2021-11-11
71fb3b90-8222-4720-876a-a647d65146ee,-22.492687,-44.0985578,2021-11-11
71fb3b90-8222-4720-876a-a647d65146ee,-22.4926889,-44.098531,2021-11-11
71fb3b90-8222-4720-876a-a647d65146ee,-22.4926961,-44.0985226,2021-11-11
71fb3b90-8222-4720-876a-a647d65146ee,-22.5318399,-44.1538785,2021-12-02
71fb3b90-8222-4720-876a-a647d65146ee,-22.4994928,-44.1079235,2021-11-06
71fb3b90-8222-4720-876a-a647d65146ee,-22.4996011,-44.1077564,2021-11-06
71fb3b90-8222-4720-876a-a647d65146ee,-22.4995998,-44.1077569,2021-11-06
71fb3b90-8222-4720-876a-a647d65146ee,-22.4994924,-44.1078183,2021-11-06
71fb3b90-8222-4720-876a-a647d65146ee,-22.4995029,-44.1078465,2021-11-06
72029e64-fc0d-4f3e-a1e3-a65d0b5587c5,-22.9868187,-43.4549753,2022-01-01
72029e64-fc0d-4f3e-a1e3-a65d0b5587c5,-22.99099099099099,-43.451515544889844,2021-12-25
72029e64-fc0d-4f3e-a1e3-a65d0b5587c5,-22.9868391,-43.4549376,2021-12-25
7204066f-3778-423f-8b00-dda55ebcd3a0,-23.5172119140625,-46.50878810375395,2021-12-20
7204066f-3778-423f-8b00-dda55ebcd3a0,-23.517242431640625,-46.50875380267064,2021-12-20
7204066f-3778-423f-8b00-dda55ebcd3a0,-23.517181396484375,-46.508749108804864,2021-12-20
7204066f-3778-423f-8b00-dda55ebcd3a0,-23.517181396484375,-46.508750617547435,2021-12-20
7204066f-3778-423f-8b00-dda55ebcd3a0,-23.517181396484375,-46.508800220931974,2021-11-10
7204066f-3778-423f-8b00-dda55ebcd3a0,-23.517181396484375,-46.50880034262835,2021-11-11
